Source	GeneSetID	GeneSetName	GeneList	n_Genes	LLM Name	LLM Analysis	Score
NeST	Cluster_ZKSCAN5_1	Cluster_ZKSCAN5_1	CPSF4 CSTF1 DDX23 EDC3 HELQ LSM1 PRPF3 RBM27 RBM33 RBM48 REXO4 SMG5 SMG8 SNRNP	14	RNA Processing and mRNA Surveillance	A substantial fraction of this system includes proteins central to **mRNA maturation and degradation**. This includes components of the spliceosome (*DDX23, PRPF3, RBM27, RBM33, SNRNP proteins*), 3′ end processing factors (*CPSF4, CSTF1*), and nonsense-mediated decay (*SMG5, SMG8*). RNA helicases (*DDX23, HELQ*), exonucleases (*REXO4*), and RNA-binding proteins (*RBM48, EDC3, LSM1*) coordinate pre-mRNA splicing, exon junction definition, and coupling of processing to mRNA surveillance. Together, these elements ensure fidelity of transcript maturation and removal of defective RNAs.	0.83
NeST	Cluster_ZKSCAN5_2	Cluster_ZKSCAN5_2	GTF2H1 HDAC KMT2C RBBP5 SIN3A TRRAP ZBTB	7	Transcriptional Regulation and Chromatin Remodeling	The system contains several chromatin regulators and transcription co-activators (*RBBP5, KMT2C, HDACs, TRRAP, SIN3A, GTF2H1, ZBTB family members*). These proteins facilitate **initiation and elongation of transcription**, modulate RNA polymerase II activity, and recruit splicing and capping machinery. Coordination with mRNA processing proteins reflects transcription-coupled RNA surveillance and chromatin state-dependent splicing outcomes.	0.83
NeST	Cluster_ZKSCAN5_3	Cluster_ZKSCAN5_3	FASTKD5 GPN1 MRPL44 MRPS34 MRPS6 MTIF2 NOP58 RRN3	8	Ribosome Biogenesis and Mitochondrial Translation	Several factors (*MRPL44, MRPS6, MRPS34, FASTKD5, MTIF2*) support **ribosomal subunit assembly and translation within mitochondria**, while *GPN1*, *RRN3*, and *NOP58* contribute to **nuclear ribosome biogenesis**. These proteins link transcription and processing of rRNAs to assembly of functional ribosomes and coordinate cytoplasmic and mitochondrial translation systems.	0.83
NeST	Cluster_ZKSCAN5_4	Cluster_ZKSCAN5_4	FBXO28 FBXO45 MUL1 RNF6 RNF8 SIRT4 SIRT7 UBR1 USP38 USP8 ZNF	11	Protein Quality Control and Ubiquitin-Dependent Regulation	A large number of E3 ligases and ubiquitin-associated proteins (*RNF6, RNF8, FBXO28, FBXO45, UBR1, ZNF proteins with RING domains*) participate in **proteostasis and regulated protein turnover**. The system also contains components of the proteasome regulatory network and stress-response adaptors (*USP8, USP38, SIRT4, SIRT7, MUL1*), reflecting tight control of translation, transcription, and RNA fate under varying cellular conditions.	0.83
NeST	Cluster_ZKSCAN5_5	Cluster_ZKSCAN5_5	CANT1 COPB2 GLE1 NUP RAE1 VPS18 VPS33B	7	Nucleocytoplasmic Transport and Organelle Coordination	Genes like *GLE1, RAE1, NUP-related components*, and *CANT1* facilitate **RNA export and RNP trafficking**. These ensure timely localization of processed transcripts and integration of RNA maturation with export readiness. *VPS18, VPS33B, COPB2* connect RNA and protein regulation to **vesicle-mediated transport** and organelle communication.	0.83
NeST	Cluster_ZKSCAN5_6	Cluster_ZKSCAN5_6		0	ZNF and ZBTB Family-Mediated Regulatory Modules	A significant portion of the system comprises **C2H2-type zinc finger (ZNF)** and **ZBTB family transcription factors**. These often function in **sequence-specific transcriptional repression or activation**, frequently at loci encoding RNA or chromatin regulators. Their repeated occurrence suggests a regulatory axis integrating RNA biogenesis with transcriptional network feedback.	0.83
NeST	Cluster_ZBTB34_1	Cluster_ZBTB34_1	ZNF112 ZNF155 ZNF200 ZNF225 ZNF230 ZNF234 ZNF275 ZNF284 ZNF440 ZNF443 ZNF490 ZNF547 ZNF548 ZNF550 ZNF607	15	Transcriptional Regulation by Zinc Finger Proteins	The majority of the genes in this system encode **C2H2-type zinc finger proteins** (ZNFs), including *ZNF112, ZNF155, ZNF200, ZNF225, ZNF230, ZNF234, ZNF275, ZNF284, ZNF440, ZNF443, ZNF490, ZNF547, ZNF550, ZNF548, ZNF607*, and many others. These proteins typically function as sequence-specific **transcriptional repressors or activators**, binding DNA to regulate gene expression. Their co-occurrence in the system indicates a dense regulatory network involved in modulating transcriptional programs in diverse biological contexts, including development, immune responses, and cell differentiation. These ZNF transcription factors often work in **tissue-specific or stimulus-specific contexts**, and many are associated with epigenetic silencing, chromatin remodeling, or gene expression fine-tuning. Their enrichment suggests the system’s central function lies in transcriptional control.	0.72
NeST	Cluster_ZBTB34_2	Cluster_ZBTB34_2	DAPK1 DOK1 IFNGR2 LATS2 NOTCH1 TLR6	6	Signaling and Transcriptional Crosstalk	Additional components such as *NOTCH1, DOK1, TLR6, IFNGR2, DAPK1,* and *LATS2* are involved in **signaling pathways that regulate transcription**, cell proliferation, or immune activation. *NOTCH1* is a major transcriptional regulator downstream of Notch signaling. *DAPK1* and *LATS2* are kinases involved in apoptotic signaling and Hippo pathway-mediated growth control, respectively. *IFNGR2* and *TLR6* are part of immune signaling modules that activate downstream transcriptional programs via STAT and NF-κB pathways. These genes may act synergistically with the ZNF proteins to coordinate context-dependent transcriptional responses.	0.72
NeST	Cluster_ZBTB34_3	Cluster_ZBTB34_3	EIF4E3 PHF16 PLAG1 USP49	4	Modulators of Chromatin and RNA Stability	Several other genes contribute indirectly to transcriptional regulation through RNA processing, chromatin accessibility, or post-transcriptional control. For example, *PHF16* and *PLAG1* are transcriptional co-regulators with roles in chromatin association or enhancer activation. *USP49* (a histone deubiquitinase) may influence chromatin state and gene transcription. *EIF4E3* is involved in translational control, acting as a modulator of mRNA stability and export.	0.72
NeST	Cluster_ZBTB34_4	Cluster_ZBTB34_4	BMF CCNG2 DAPK1 LATS2	4	Functional Integration and Cell Fate Control	A subset of the system, including *BMF*, *CCNG2*, *DAPK1*, and *LATS2*, points toward **integration of cell death and proliferation signals with transcriptional regulation**. These genes may serve as effectors of ZNF-mediated gene networks, reinforcing control of cellular homeostasis and fate decisions.	0.72
