rank,term,NES,group,file
1,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,3.1310245711869213,POS,01_POS_REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2_NES_only.png
2,REACTOME_KEAP1_NFE2L2_PATHWAY,3.054796569345746,POS,02_POS_REACTOME_KEAP1_NFE2L2_PATHWAY_NES_only.png
3,REACTOME_METABOLISM_OF_POLYAMINES,3.0461151434080733,POS,03_POS_REACTOME_METABOLISM_OF_POLYAMINES_NES_only.png
4,REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,3.004592722778713,POS,04_POS_REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC_NES_only.png
5,REACTOME_SOMITOGENESIS,2.9643592816124964,POS,05_POS_REACTOME_SOMITOGENESIS_NES_only.png
6,REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,-2.2531036531247053,NEG,06_NEG_REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS_NES_only.png
7,REACTOME_DNA_STRAND_ELONGATION,-2.1837594305914103,NEG,07_NEG_REACTOME_DNA_STRAND_ELONGATION_NES_only.png
8,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-2.1696613184340747,NEG,08_NEG_REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION_NES_only.png
9,REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,-2.0919345935468106,NEG,09_NEG_REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_NES_only.png
10,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,-2.0798993134537263,NEG,10_NEG_REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS_NES_only.png
