rank,term,NES,group,file
1,REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,3.395676087910734,POS,01_POS_REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC_NES_only.png
2,REACTOME_METABOLISM_OF_POLYAMINES,3.37786287010096,POS,02_POS_REACTOME_METABOLISM_OF_POLYAMINES_NES_only.png
3,REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,3.207051640994152,POS,03_POS_REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274_NES_only.png
4,REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,3.181532805059332,POS,04_POS_REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA_NES_only.png
5,REACTOME_REGULATION_OF_CDH1_FUNCTION,3.1662241965812576,POS,05_POS_REACTOME_REGULATION_OF_CDH1_FUNCTION_NES_only.png
6,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-2.168023859374404,NEG,06_NEG_REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION_NES_only.png
7,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,-2.125197850998671,NEG,07_NEG_REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS_NES_only.png
8,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,-2.1001480513334387,NEG,08_NEG_REACTOME_MITOTIC_SPINDLE_CHECKPOINT_NES_only.png
9,REACTOME_PHOSPHORYLATION_OF_THE_APC_C,-2.0918158757325553,NEG,09_NEG_REACTOME_PHOSPHORYLATION_OF_THE_APC_C_NES_only.png
10,REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,-2.0884181988501656,NEG,10_NEG_REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS_NES_only.png
