Pathway,NES_K562,NES_NPC,deltaNES_K562_minus_NPC
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,2.540972409883232,2.5372218616027906,0.0037505482804411905
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,-0.6239286072539132,-1.0476645240985092,0.423735916844596
REACTOME_ABC_TRANSPORTER_DISORDERS,2.5763271868905586,2.713109682891945,-0.13678249600138637
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,-1.6688812560906772,-1.907593074438219,0.23871181834754185
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,-1.579806392441088,-1.4836973274224476,-0.09610906501864025
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,-0.8795087895379871,1.3759631465353863,-2.2554719360733735
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.7662199474256671,-1.030187017117644,1.7964069645433112
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,1.4030826473202325,1.3050659674909615,0.09801667982927098
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,1.0014573269683344,-1.0802676304045569,2.0817249573728915
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,1.134075289112819,1.2360240542640646,-0.10194876515124562
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,-1.1581441229342344,-1.2066765656669645,0.04853244273273005
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,1.0510211540549133,1.0716704088191793,-0.020649254764266045
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,1.16456046565307,1.2193492112400848,-0.05478874558701485
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,-1.2631731128276913,1.1566624674125887,-2.41983558024028
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,2.0600254934161946,2.32342946019407,-0.26340396677787536
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,-2.0798993134537263,-1.702265767233566,-0.3776335462201603
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,2.100922886142504,1.8775573144854802,0.22336557165702375
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,1.4042132828965344,1.4205874116683348,-0.016374128771800445
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,-1.2445157865084753,-1.415464768005578,0.1709489814971028
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,-1.0028229276945146,-0.989479331539531,-0.013343596154983595
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,-0.7520796752236628,-1.0390634927504572,0.28698381752679436
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,-0.8350294947805168,-1.4023503566584563,0.5673208618779395
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,2.7938230235223585,2.970949584331082,-0.17712656080872335
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-0.8746159095838008,-1.0772691740593088,0.20265326447550802
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,-1.2080152163710363,-0.9761130260892891,-0.2319021902817472
REACTOME_ACTIVATION_OF_RAC1,-0.713800626162194,-0.9378259543897994,0.22402532822760546
REACTOME_ACTIVATION_OF_SMO,-0.7019549197030543,1.0411121616802428,-1.7430670813832971
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,-1.3101183326784385,-1.1937645942919357,-0.11635373838650276
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-1.2027784275474502,-1.0556430117990019,-0.14713541574844835
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,-2.036310248276815,-1.744095165481008,-0.292215082795807
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.6450501903977923,1.2029954433159866,-0.5579452529181943
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,-0.7146282799274577,-1.5084916018585872,0.7938633219311295
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,-0.677501872050241,-1.4106794824999147,0.7331776104496737
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.8757804147238567,-1.2837311097027566,2.1595115244266134
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,1.2796251794132338,-1.0863196419355516,2.3659448213487853
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,-0.6468694949510687,-1.2326080009156928,0.5857385059646241
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,1.3386659831739898,1.0,0.33866598317398977
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.5688629565981512,0.8120916187506155,-0.2432286621524643
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,2.0789198707926024,2.052413681240158,0.026506189552444326
REACTOME_ADIPOGENESIS,0.9229632032124045,1.0101672796404433,-0.08720407642803873
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,1.3711891840374055,1.252929564662912,0.11825961937449359
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,-0.7641084979970025,-1.0660575799468948,0.30194908194989223
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.9585024372420023,-0.8098083344728156,1.7683107717148179
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,1.021527616178814,-1.2209595051829143,2.2424871213617283
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,1.1403940401779504,1.1349947026585714,0.005399337519379044
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-1.2294730248469075,1.667855499094897,-2.8973285239418045
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,-1.1657500222808188,-1.5240660750948143,0.3583160528139955
REACTOME_AGGREPHAGY,1.867609014625611,1.9924765380906935,-0.12486752346508245
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,-0.9604190772604512,-1.1970823118011147,0.23666323454066351
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,-1.0496887795856022,-1.29165622306955,0.24196744348394783
REACTOME_ALK_MUTANTS_BIND_TKIS,1.3965994105835668,1.324499222161835,0.07210018842173183
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,-1.5106036114397945,-1.5412456424160428,0.03064203097624829
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.9712098240306027,-0.6469604150799978,1.6181702391106005
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,1.1690028161777597,-0.8266591337345247,1.9956619499122845
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,1.1475126978980763,-1.1169384751200913,2.2644511730181676
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,2.6481000525132714,2.8127766525034295,-0.16467659999015805
REACTOME_AMYLOID_FIBER_FORMATION,-1.4977107882376324,-1.31832738499945,-0.17938340323818247
REACTOME_ANCHORING_FIBRIL_FORMATION,-1.246899814387333,-1.2650094685385407,0.018109654151207577
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,1.2678232443966466,-1.035420563467075,2.303243807863722
REACTOME_ANDROGEN_BIOSYNTHESIS,-0.9357147147677825,-0.7503885964414594,-0.18532611832632306
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-1.0753980626494128,1.2474025101582056,-2.322800572807618
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,1.0464473905037897,1.1559527193471293,-0.10950532884333963
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.2068985771273084,2.4339165569836614,-0.22701797985635297
