Term,Name,NES,NOM p-val,FDR q-val,Lead_genes
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,prerank,3.1310245711869213,0.0,0.0,ENSG00000100804;ENSG00000181019;ENSG00000033050;ENSG00000138798;ENSG00000142657;ENSG00000087191;ENSG00000160211;ENSG00000100764;ENSG00000115233;ENSG00000104687;ENSG00000108846;ENSG00000041357;ENSG00000103035;ENSG00000136810;ENSG00000130706;ENSG00000150991;ENSG00000103222;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000177156;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341;ENSG00000117450
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,prerank,2.7825107194584926,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS,prerank,2.77572778678055,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_PCP_CE_PATHWAY,prerank,2.775394923396616,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000067560;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000141367;ENSG00000161203;ENSG00000175166;ENSG00000126067;ENSG00000108518;ENSG00000101182;ENSG00000042753;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_DEGRADATION_OF_DVL,prerank,2.7681222338498355,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,prerank,2.7652755653998806,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000088832;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000174775;ENSG00000196262;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,prerank,2.7534240569541493,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,prerank,2.743899326698881,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,prerank,2.785980520571579,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000168214;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,prerank,2.7333915273078793,0.0,0.0,ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000115233;ENSG00000041357;ENSG00000103035;ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000108344;ENSG00000108671;ENSG00000013275;ENSG00000185627;ENSG00000173692;ENSG00000175166;ENSG00000126067;ENSG00000101182;ENSG00000165916;ENSG00000142507;ENSG00000099341
