Term,Name,NES,NOM p-val,FDR q-val,Lead_genes
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,prerank,3.395676087910734,0.0,0.0,ENSG00000130706;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000181019;ENSG00000100764;ENSG00000180304;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000104904;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,prerank,2.954906095581544,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,prerank,2.9545939091108115,0.0,0.0,ENSG00000127824;ENSG00000130706;ENSG00000150991;ENSG00000101367;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000096384;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000080824;ENSG00000041357;ENSG00000167553;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000123416;ENSG00000188229;ENSG00000258947
REACTOME_PROTEASOME_ASSEMBLY,prerank,2.9507025985749555,0.0,0.0,ENSG00000130706;ENSG00000159352;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,prerank,2.9324516213150256,0.0,0.0,ENSG00000130706;ENSG00000168214;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000154342;ENSG00000179111;ENSG00000203877
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,prerank,2.9216257638591907,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000204435;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_UCH_PROTEINASES,prerank,2.89085198927485,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000105329;ENSG00000075624;ENSG00000172534;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000129559;ENSG00000142507
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,prerank,2.8737837118235197,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000161642;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,prerank,2.860863000258816,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000082898;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000109971;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000166913;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000114867;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000140350
REACTOME_REGULATION_OF_RAS_BY_GAPS,prerank,2.8520443684866765,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000174775;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,prerank,2.8247413806562465,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,prerank,2.970949584331082,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_PCP_CE_PATHWAY,prerank,2.81620667972288,0.0,0.0,ENSG00000130706;ENSG00000067560;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000161203;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000141367;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000108518;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000042753;ENSG00000111186
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,prerank,2.8089979484048815,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
